Team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16
Northwestern,0.236808,0.6111,0.6164,0.92,0.3564,0.8835,0.2052,0.4032,0.539,0.5,0.595,0.21,0.148,0.6141,0.0736,0.11045
Notre Dame,0.912576,0.5841,0.83,0,0.55,0.97,0.5456,0.3648,0.225,0.2574,0.2784,0.1026,0.4662,0.5751,0.82,0.1953
Ohio St.,0.332166,0.780947,0.093,0.6696,0.13,0.7144,0.31,0.0704,0.0612,0.235,0.168,0.077,0.2106,0.129375,0.32,0.2255
Oklahoma,0.8265,0.96,0.1235,0.1012,0.76,0.58,0.33,0.0598,0.1596,0.0333,0.0851,0.1176,0.0375,0.1188,0.065,0.055
Oklahoma St.,0.902776,0.69,0,0.79,0.23,0.95,0.46,0.1593,0.1298,0.3528,0.5625,0.116,0.4648,0.3854,0.3311,0.147
Oregon,0.337218,0.7,0.9108,0.85,0.9506,0.93,0.6106,0.792,0.98,0.7998,0.4536,0.6555,0.273,0.765,0.5135,0.95
Oregon St.,0.0132525,0.0405,0,0.75,0.3808,0.37,0.0105,0.034,0.02,0.0432,0.0035,0.021,0.001,0.028,0.005,0.05
Penn St.,0.08346624,0.4459,0.464,0.2475,0.39,0.96,0.2107,0.0484,0.42,0.049,0.0495,0.1672,0.1248,0.41,0.008748,0.1711
Pittsburgh,0.0786176,0.688,0.2047,0.5092,0.81,0.82,0.304,0.0624,0.0376,0.45,0.1173,0.007,0.3132,0.1908,0.0441,0.0248
Providence,0.272958,0.5148,0.484,0.8265,0.94,0.6664,0.054,0.345,0.434,0.036,0.2291,0.24,0.144,0.56,0.1334,0.4628
Purdue,0.455994,0.8134,0.2813,0.8036,0.45,0.9801,0.6864,0.4352,0.68,0.774,0.4212,0.4582,0.58,0.752,0.2774,0.233147
Rutgers,0,0.812912,0.1116,0.4896,0.6545,0.14,0.0306,0.0228,0.042,0.58,0.0238,0.108,0.0551,0.0066,0.19,0.1435
Seton Hall,0.423225,0.17,0.94,0.6365,0.2976,0.86,0.1525,0.9,0.1216,0.081,0.49,0.129,0.374,0.1431,0.4248,0.1584
South Carolina,0.75210696,0.4544,0.8232,0,0.6555,0.8,0,0.4872,0.4988,0.1012,0.7304,0.6888,0.568,0.3619,0.164,0.5785
St. John's,0.145888,0.41,0.6499,0.52871,0.61,0.21,0.162,0.0528,0.035,0.152,0.0819,0.0205,0.45,0.11,0.0901,0.0624
Stanford,0.23242037,0.17,0.0138,0,0,0.0595,0.1752,0.0189,0.6237,0.0511,0.21,0.2475,0.0352,0.47,0.189,0.0494
Syracuse,0.6555,0.2842,0.141,0.6942,0.69,0.6794,0.646,0.4292,0.2992,0.0242,0.2714,0.1848,0.1472,0.1312,0.0456,0.7
TCU,0,0.5762,0.783,0.1602,0.93,0.94,0.37,0.0962,0.2209,0.1591,0.2,0.2325,0.1206,0.1113,0.051,0.2745
Tennessee,0.7695,0.25,0.7,0.1089,0.139026,0.38,0.38,0.0513,0.1092,0.3192,0.1512,0.2254,0.4615,0.087,0.099,0.4216
Texas,0.776736,0.37,0.3819,0.1365,0.37,0.88,0.1826,0.0574,0.1272,0.012,0.1953,0.1375,0.0595,0.1632,0.0234,0.0832
Texas A&M,0.55632,0.91,0,0.767536,0.23,0.93,0.62,0.0144,0.3956,0.3348,0.0351,0.338,0.068,0.1728,0.1534,0.1575
Texas Tech,0.884352,0.6468,0.8633,0.95,0.5335,0.99,0.19,0.0462,0.2537,0.3213,0.153,0.324,0.1155,0.0492,0.1035,0.2146
UCLA,0.91295624,0.98,0.2277,0.66,0.8613,0.95,0.2697,0.7553,0.3696,0.5859,0.58,0.7308,0.5684,0.83,0.2673,0.912
USC,0.30888,0.313992,0.6216,0.96,0.85,0.8075,0.119,0.5135,0.1419,0.34,0.42,0.4896,0.3325,0.17,0.0992,0.792
Utah,0,0.97,0.4606,0.261,0.97,0.82,0.74,0.1088,0.2948,0.518,0.3515,0.209,0.8099,0.129,0.45,0.5427
